year,month,carrier,carrier_name,airport,airport_name,year,month,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,violated_rule
2021,7,YX,Republic Airline,CHA,"Chattanooga, TN: Lovell Field",2021,7,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,7,YX,Republic Airline,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",2021,7,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,7,YX,Republic Airline,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",2021,7,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,7,YX,Republic Airline,PIA,"Peoria, IL: General Downing - Peoria International",2021,7,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,7,ZW,Air Wisconsin Airlines Corp,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",2021,7,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,6,9E,Endeavor Air Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",2021,6,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,6,PT,Piedmont Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",2021,6,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,6,ZW,Air Wisconsin Airlines Corp,BDL,"Hartford, CT: Bradley International",2021,6,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,4,AA,American Airlines Network,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",2021,4,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,3,F9,Frontier Airlines,STL,"St. Louis, MO: St Louis Lambert International",2021,3,87.0,17.0,2.59,0.0,8.54,0.0,4.87,3.0,0.0,559.0,99.0,0.0,261.0,0.0,179.0,cause_delays_sum_mismatch
2021,3,YV,Mesa Airlines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",2021,3,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,3,YX,Republic Airline,MDT,"Harrisburg, PA: Harrisburg International",2021,3,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,3,YX,Republic Airline,TUL,"Tulsa, OK: Tulsa International",2021,3,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,2,DL,Delta Air Lines Network,CAE,"Columbia, SC: Columbia Metropolitan",2021,2,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,1,YV,Mesa Airlines Inc.,MOB,"Mobile, AL: Mobile Regional",2021,1,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,12,OO,SkyWest Airlines Inc.,BDL,"Hartford, CT: Bradley International",2020,12,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,12,OO,SkyWest Airlines Inc.,PWM,"Portland, ME: Portland International Jetport",2020,12,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,12,UA,United Air Lines Network,PNS,"Pensacola, FL: Pensacola International",2020,12,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,12,UA,United Air Lines Network,STL,"St. Louis, MO: St Louis Lambert International",2020,12,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,12,DL,Delta Air Lines Network,BIL,"Billings, MT: Billings Logan International",2020,12,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,12,DL,Delta Air Lines Network,CHA,"Chattanooga, TN: Lovell Field",2020,12,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
